2021-06-11 12:02:05 | 000002 万  科Ａ | 卖出: -200 * 25.28 |  --> -14.44 % 止损: -14.44 %
2021-06-11 12:02:05 | 000547 航天发展 | 卖出: -9000 * 18.53 |  --> -26.6 % 止损: -26.6 %
2021-06-11 12:02:05 | 600048 保利地产 | 卖出: -7000 * 13.04 |  --> -12.93 % 止损: -12.93 %
2021-06-11 12:02:05 | 000651 格力电器 | 买入: 700 * 54.71 |  买入信号: kdj
2021-06-11 12:02:05 | 000963 华东医药 | 买入: 1500 * 48.07 |  买入信号: kdj
2021-06-11 12:02:05 | 002507 涪陵榨菜 | 买入: 300 * 38.2 |  买入信号: kdj
2021-06-11 12:02:05 | 002812 恩捷股份 | 买入: 300 * 191.75 |  买入信号: cci
2021-06-11 12:02:05 | 601808 中海油服 | 买入: 2600 * 15.6 |  买入信号: sar
2021-06-11 12:02:05 | 603233 大参林 | 买入: 700 * 54.3 |  买入信号: mfi + kdj
2021-06-11 12:02:05 | 603338 浙江鼎力 | 买入: 1200 * 59.84 |  买入信号: kdj
2021-06-11 12:02:05 | 603638 艾迪精密 | 买入: 1700 * 42.84 |  买入信号: cci + boll
2021-06-11 12:02:05 | 603899 晨光文具 | 买入: 800 * 83.04 |  买入信号: mfi + kdj
2021-06-11 12:36:12 | 000002 万  科Ａ | 卖出: -200 * 25.28 |  --> -14.44 % 止损: -14.44 %
2021-06-11 12:36:12 | 000547 航天发展 | 卖出: -9000 * 18.53 |  --> -26.6 % 止损: -26.6 %
2021-06-11 12:36:12 | 600048 保利地产 | 卖出: -7000 * 13.04 |  --> -12.93 % 止损: -12.93 %
2021-06-11 12:36:12 | 000651 格力电器 | 买入: 700 * 54.71 |  买入信号: kdj
2021-06-11 12:36:12 | 000963 华东医药 | 买入: 1500 * 48.07 |  买入信号: kdj
2021-06-11 12:36:12 | 002507 涪陵榨菜 | 买入: 300 * 38.2 |  买入信号: kdj
2021-06-11 12:36:12 | 002812 恩捷股份 | 买入: 300 * 191.75 |  买入信号: cci
2021-06-11 12:36:12 | 603233 大参林 | 买入: 700 * 54.3 |  买入信号: mfi + kdj
2021-06-11 12:36:12 | 603338 浙江鼎力 | 买入: 1200 * 59.84 |  买入信号: kdj
2021-06-11 12:36:12 | 603638 艾迪精密 | 买入: 1700 * 42.84 |  买入信号: cci + boll
2021-06-11 12:36:12 | 603899 晨光文具 | 买入: 800 * 83.04 |  买入信号: mfi + kdj
2021-06-11 13:01:12 | 601166 兴业银行 | 卖出: -1200 * 21.46 |  --> -10.17 % 止损: -10.17 %
