2021-06-17 11:24:44 | 000963 华东医药 | 买入: 4600 * 43.0 |  买入信号: kdj
2021-06-17 11:24:44 | 002507 涪陵榨菜 | 买入: 5200 * 37.93 |  买入信号: kdj
2021-06-17 11:24:44 | 600585 海螺水泥 | 买入: 4500 * 44.16 |  买入信号: kdj
2021-06-17 11:24:44 | 603338 浙江鼎力 | 买入: 3600 * 54.5 |  买入信号: kdj
2021-06-17 11:24:44 | 603369 今世缘 | 买入: 3500 * 56.57 |  买入信号: cci
2021-06-17 11:31:49 | 000963 华东医药 | 买入: 5500 * 42.93 |  买入信号: kdj
2021-06-17 11:31:49 | 002507 涪陵榨菜 | 买入: 6300 * 37.88 |  买入信号: kdj
2021-06-17 11:31:49 | 600585 海螺水泥 | 买入: 5400 * 44.1 |  买入信号: kdj
2021-06-17 11:31:49 | 603338 浙江鼎力 | 买入: 4400 * 54.22 |  买入信号: kdj
2021-06-17 11:31:49 | 603369 今世缘 | 买入: 4200 * 56.45 |  买入信号: cci
2021-06-17 11:51:42 | 000963 华东医药 | 买入: 5500 * 42.93 |  买入信号: kdj
2021-06-17 11:51:42 | 002507 涪陵榨菜 | 买入: 6300 * 37.88 |  买入信号: kdj
2021-06-17 11:51:42 | 600585 海螺水泥 | 买入: 5400 * 44.1 |  买入信号: kdj
2021-06-17 11:51:42 | 603338 浙江鼎力 | 买入: 4400 * 54.22 |  买入信号: kdj
2021-06-17 11:51:42 | 603369 今世缘 | 买入: 4200 * 56.45 |  买入信号: cci
2021-06-17 12:04:39 | 000963 华东医药 | 买入: 5500 * 42.93 |  买入信号: kdj
2021-06-17 12:04:39 | 002507 涪陵榨菜 | 买入: 6300 * 37.88 |  买入信号: kdj
2021-06-17 12:04:39 | 600585 海螺水泥 | 买入: 5400 * 44.1 |  买入信号: kdj
2021-06-17 12:04:39 | 603338 浙江鼎力 | 买入: 4400 * 54.22 |  买入信号: kdj
2021-06-17 12:04:39 | 603369 今世缘 | 买入: 4200 * 56.45 |  买入信号: cci
2021-06-17 13:05:40 | 000963 华东医药 | 买入: 100 * 42.84 |  买入信号: kdj
2021-06-17 15:35:12 | 000963 华东医药 | 买入: 5600 * 42.48 |  买入信号: kdj
2021-06-17 15:35:12 | 002258 利尔化学 | 买入: 10100 * 23.66 |  买入信号: kdj + wr
2021-06-17 15:35:12 | 002507 涪陵榨菜 | 买入: 6300 * 37.9 |  买入信号: kdj
2021-06-17 15:35:12 | 600585 海螺水泥 | 买入: 5400 * 43.89 |  买入信号: kdj
2021-06-17 15:35:12 | 603338 浙江鼎力 | 买入: 4400 * 54.25 |  买入信号: kdj
2021-06-17 15:35:12 | 603369 今世缘 | 买入: 4200 * 55.96 |  买入信号: cci
